Municipio-poblacion;Fecha casos;Casos;Tasa;riesgo;Variacion diaria de tasa;Tendencia;Fuente de datos:;Link fuente de datos;Mensaje;Nivel;history_available;Alerta;Población;Comunidad
Valsequillo;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;9340,0;Canarias
Hermigua;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;1832,0;Canarias
Garafía;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;1667,0;Canarias
El Pinar;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;1870,0;Canarias
Artenara;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;1069,0;Canarias
Puntallana;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;2506,0;Canarias
Tijarafe;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;2532,0;Canarias
Fuencaliente;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;1722,0;Canarias
Buenavista Del Norte;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;4778,0;Canarias
Valle Gran Rey;09/06/2021;0;0;BAJO;-4,695;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;4564,0;Canarias
Valleseco;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;3749,0;Canarias
Vallehermoso;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;2901,0;Canarias
Garachico;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;4871,0;Canarias
Barlovento;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;1876,0;Canarias
San Andrés Y Sauces;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;4141,0;Canarias
Tejeda;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;1909,0;Canarias
Vilaflor;09/06/2021;0;0;BAJO;-44,991;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;1667,0;Canarias
Moya;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;7696,0;Canarias
Haría;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;5123,0;Canarias
Frontera;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;4093,0;Canarias
Tegueste;09/06/2021;1;8;BAJO;1,897;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;11294,0;Canarias
Breña Alta;09/06/2021;1;13;BAJO;2,479;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;7204,0;Canarias
La Matanza De Acentejo;09/06/2021;1;11;BAJO;-1,971;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;9061,0;Canarias
Tacoronte;09/06/2021;3;12;BAJO;1,036;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;24134,0;Canarias
Valverde, Canarias;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;5005,0;Canarias
La Orotava;09/06/2021;5;11;BAJO;1,445;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;42029,0;Canarias
Puerto De La Cruz;09/06/2021;5;16;BAJO;1,289;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;30468,0;Canarias
La Oliva;09/06/2021;12;45;MODERADO;5,509;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;26580,0;Canarias
San Bartolomé De Tirajana;09/06/2021;5;9;BAJO;1,203;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;53443,0;Canarias
Los Realejos;09/06/2021;2;5;BAJO;-0,785;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;36402,0;Canarias
Telde;09/06/2021;3;2;BAJO;0,313;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;102647,0;Canarias
Guía De Isora;09/06/2021;0;0;BAJO;-1,504;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;21368,0;Canarias
Santa Lucía De Tirajana;09/06/2021;2;2;BAJO;0,195;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;73328,0;Canarias
Granadilla De Abona;09/06/2021;22;43;MODERADO;3,703;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;50146,0;Canarias
Arona;09/06/2021;7;8;BAJO;0,044;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;81216,0;Canarias
Puerto Del Rosario;09/06/2021;34;83;MODERADO;4,908;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;40753,0;Canarias
Arrecife;09/06/2021;79;125;ALTO;0,907;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;62988,0;Canarias
La Laguna;09/06/2021;105;66;MODERADO;-1,587;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;157503,0;Canarias
Santa Cruz De Tenerife;09/06/2021;286;137;ALTO;3,463;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;207312,0;Canarias
Las Palmas De Gran Canaria;09/06/2021;171;45;MODERADO;1,56;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;379925,0;Canarias
Betancuria;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;758,0;Canarias
Adeje;09/06/2021;12;25;BAJO;-0,448;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;47869,0;Canarias
Candelaria;09/06/2021;0;0;BAJO;-2,68;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;27985,0;Canarias
Ingenio;09/06/2021;1;3;BAJO;0,57;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;31321,0;Canarias
Pájara;09/06/2021;4;18;BAJO;-3,725;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;21093,0;Canarias
Teguise;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;22342,0;Canarias
Yaiza;09/06/2021;2;12;BAJO;1,293;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;16571,0;Canarias
Santiago Del Teide;09/06/2021;0;0;BAJO;-0,964;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;11111,0;Canarias
El Sauzal;09/06/2021;1;11;BAJO;-0,0;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;8934,0;Canarias
Santa Úrsula;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;14679,0;Canarias
Gáldar;09/06/2021;0;0;BAJO;0,0;Constante;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;24242,0;Canarias
Santa Brígida;09/06/2021;2;10;BAJO;0,978;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;18263,0;Canarias
Agüimes;09/06/2021;2;6;BAJO;0,791;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;31619,0;Canarias
Mogán;09/06/2021;2;9;BAJO;1,957;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;20072,0;Canarias
Los Llanos De Aridane;09/06/2021;2;9;BAJO;2,094;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;20467,0;Canarias
San Miguel De Abona;09/06/2021;3;14;BAJO;0,855;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;20886,0;Canarias
La Victoria De Acentejo;09/06/2021;2;21;BAJO;1,944;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;9185,0;Canarias
El Rosario;09/06/2021;1;5;BAJO;-1,645;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;17370,0;Canarias
Arucas;09/06/2021;2;5;BAJO;0,468;Creciente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;38138,0;Canarias
Tías;09/06/2021;1;4;BAJO;-1,239;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;20170,0;Canarias
Güímar;09/06/2021;0;0;BAJO;-4,245;Descendente;Gobierno de Canarias (Servicio Canario de Salud);https://grafcan1.maps.arcgis.com/apps/opsdashboard/index.html#/156eddd4d6fa4ff1987468d1fd70efb6;* Casos: Casos positivos confirmados mediante test de laboratorio en los últimos 7 días.;Municipio;18;;20190,0;Canarias
